Rank,Symbol,Company Name,Sector,Overall Score,Investment Rating,Explanation,Market Cap ($),P/E Ratio,Gross Margin (%),ROE (%),Sales Growth (%),Key Strengths,Key Concerns,Analysis Date
1,AOS,AOS Corporation,Technology,0.70,HOLD ⭐⭐⭐,Decent investment but monitor closely,"20,000,000,000",N/A,0.0,0.0,0.0,,,2025-08-13T11:50:21.907940
2,ABNB,ABNB Corporation,Technology,0.70,HOLD ⭐⭐⭐,Decent investment but monitor closely,"20,000,000,000",N/A,0.0,0.0,0.0,,,2025-08-13T11:50:21.909951
3,MO,MO Corporation,Technology,0.70,HOLD ⭐⭐⭐,Decent investment but monitor closely,"20,000,000,000",N/A,0.0,0.0,0.0,,,2025-08-13T11:50:21.911693
4,AME,AME Corporation,Technology,0.70,HOLD ⭐⭐⭐,Decent investment but monitor closely,"20,000,000,000",N/A,0.0,0.0,0.0,,,2025-08-13T11:50:21.914021
5,ACGL,ACGL Corporation,Technology,0.70,HOLD ⭐⭐⭐,Decent investment but monitor closely,"20,000,000,000",N/A,0.0,0.0,0.0,,,2025-08-13T11:50:21.915738
6,ABT,ABT Corporation,Technology,0.69,HOLD ⭐⭐⭐,Decent investment but monitor closely,"35,000,000,000",N/A,0.0,0.0,0.0,,,2025-08-13T11:50:21.908126
7,AKAM,AKAM Corporation,Technology,0.69,HOLD ⭐⭐⭐,Decent investment but monitor closely,"35,000,000,000",N/A,0.0,0.0,0.0,,,2025-08-13T11:50:21.910124
8,AMZN,AMZN Corporation,Technology,0.69,HOLD ⭐⭐⭐,Decent investment but monitor closely,"35,000,000,000",N/A,0.0,0.0,0.0,,,2025-08-13T11:50:21.911863
9,AMGN,AMGN Corporation,Technology,0.69,HOLD ⭐⭐⭐,Decent investment but monitor closely,"35,000,000,000",N/A,0.0,0.0,0.0,,,2025-08-13T11:50:21.914202
10,ADM,ADM Corporation,Technology,0.69,HOLD ⭐⭐⭐,Decent investment but monitor closely,"35,000,000,000",N/A,0.0,0.0,0.0,,,2025-08-13T11:50:21.915910
11,AMD,AMD Corporation,Technology,0.66,HOLD ⭐⭐⭐,Decent investment but monitor closely,"95,000,000,000",N/A,0.0,0.0,0.0,,,2025-08-13T11:50:21.908972
12,ALLE,ALLE Corporation,Technology,0.66,HOLD ⭐⭐⭐,Decent investment but monitor closely,"95,000,000,000",N/A,0.0,0.0,0.0,,,2025-08-13T11:50:21.910823
13,AXP,AXP Corporation,Technology,0.66,HOLD ⭐⭐⭐,Decent investment but monitor closely,"95,000,000,000",N/A,0.0,0.0,0.0,,,2025-08-13T11:50:21.912918
14,APA,APA Corporation,Technology,0.66,HOLD ⭐⭐⭐,Decent investment but monitor closely,"95,000,000,000",N/A,0.0,0.0,0.0,,,2025-08-13T11:50:21.914889
15,T,T Corporation,Technology,0.66,HOLD ⭐⭐⭐,Decent investment but monitor closely,"95,000,000,000",N/A,0.0,0.0,0.0,,,2025-08-13T11:50:21.916659
16,MMM,MMM Corporation,Technology,0.65,HOLD ⭐⭐⭐,Decent investment but monitor closely,"5,000,000,000",N/A,0.0,0.0,0.0,,,2025-08-13T11:50:21.907720
17,APD,APD Corporation,Technology,0.65,HOLD ⭐⭐⭐,Decent investment but monitor closely,"5,000,000,000",N/A,0.0,0.0,0.0,,,2025-08-13T11:50:21.909769
18,GOOG,GOOG Corporation,Technology,0.65,HOLD ⭐⭐⭐,Decent investment but monitor closely,"5,000,000,000",N/A,0.0,0.0,0.0,,,2025-08-13T11:50:21.911514
19,AMP,AMP Corporation,Technology,0.65,HOLD ⭐⭐⭐,Decent investment but monitor closely,"5,000,000,000",N/A,0.0,0.0,0.0,,,2025-08-13T11:50:21.913839
20,APTV,APTV Corporation,Technology,0.65,HOLD ⭐⭐⭐,Decent investment but monitor closely,"5,000,000,000",N/A,0.0,0.0,0.0,,,2025-08-13T11:50:21.915572
21,ACN,ACN Corporation,Technology,0.64,HOLD ⭐⭐⭐,Decent investment but monitor closely,"65,000,000,000",N/A,0.0,0.0,0.0,,,2025-08-13T11:50:21.908579
22,ARE,ARE Corporation,Technology,0.64,HOLD ⭐⭐⭐,Decent investment but monitor closely,"65,000,000,000",N/A,0.0,0.0,0.0,,,2025-08-13T11:50:21.910478
23,AEE,AEE Corporation,Technology,0.64,HOLD ⭐⭐⭐,Decent investment but monitor closely,"65,000,000,000",N/A,0.0,0.0,0.0,,,2025-08-13T11:50:21.912206
24,ADI,ADI Corporation,Technology,0.64,HOLD ⭐⭐⭐,Decent investment but monitor closely,"65,000,000,000",N/A,0.0,0.0,0.0,,,2025-08-13T11:50:21.914546
25,AJG,AJG Corporation,Technology,0.64,HOLD ⭐⭐⭐,Decent investment but monitor closely,"65,000,000,000",N/A,0.0,0.0,0.0,,,2025-08-13T11:50:21.916252
26,ABBV,ABBV Corporation,Technology,0.62,HOLD ⭐⭐⭐,Decent investment but monitor closely,"50,000,000,000",N/A,0.0,0.0,0.0,,,2025-08-13T11:50:21.908360
27,ALB,ALB Corporation,Technology,0.62,HOLD ⭐⭐⭐,Decent investment but monitor closely,"50,000,000,000",N/A,0.0,0.0,0.0,,,2025-08-13T11:50:21.910298
28,AMCR,AMCR Corporation,Technology,0.62,HOLD ⭐⭐⭐,Decent investment but monitor closely,"50,000,000,000",N/A,0.0,0.0,0.0,,,2025-08-13T11:50:21.912032
29,APH,APH Corporation,Technology,0.62,HOLD ⭐⭐⭐,Decent investment but monitor closely,"50,000,000,000",N/A,0.0,0.0,0.0,,,2025-08-13T11:50:21.914376
30,ANET,ANET Corporation,Technology,0.62,HOLD ⭐⭐⭐,Decent investment but monitor closely,"50,000,000,000",N/A,0.0,0.0,0.0,,,2025-08-13T11:50:21.916079
31,ADBE,ADBE Corporation,Technology,0.61,HOLD ⭐⭐⭐,Decent investment but monitor closely,"80,000,000,000",N/A,0.0,0.0,0.0,,,2025-08-13T11:50:21.908769
32,ALGN,ALGN Corporation,Technology,0.61,HOLD ⭐⭐⭐,Decent investment but monitor closely,"80,000,000,000",N/A,0.0,0.0,0.0,,,2025-08-13T11:50:21.910650
33,AEP,AEP Corporation,Technology,0.61,HOLD ⭐⭐⭐,Decent investment but monitor closely,"80,000,000,000",N/A,0.0,0.0,0.0,,,2025-08-13T11:50:21.912557
34,AON,AON Corporation,Technology,0.61,HOLD ⭐⭐⭐,Decent investment but monitor closely,"80,000,000,000",N/A,0.0,0.0,0.0,,,2025-08-13T11:50:21.914715
35,AIZ,AIZ Corporation,Technology,0.61,HOLD ⭐⭐⭐,Decent investment but monitor closely,"80,000,000,000",N/A,0.0,0.0,0.0,,,2025-08-13T11:50:21.916437
36,AES,AES Corporation,Technology,0.55,WEAK HOLD ⭐⭐,"Below average metrics, consider other options","110,000,000,000",N/A,0.0,0.0,0.0,,,2025-08-13T11:50:21.909150
37,AFL,AFL Corporation,Technology,0.55,WEAK HOLD ⭐⭐,"Below average metrics, consider other options","125,000,000,000",N/A,0.0,0.0,0.0,,,2025-08-13T11:50:21.909326
38,LNT,LNT Corporation,Technology,0.55,WEAK HOLD ⭐⭐,"Below average metrics, consider other options","110,000,000,000",N/A,0.0,0.0,0.0,,,2025-08-13T11:50:21.910993
39,ALL,ALL Corporation,Technology,0.55,WEAK HOLD ⭐⭐,"Below average metrics, consider other options","125,000,000,000",N/A,0.0,0.0,0.0,,,2025-08-13T11:50:21.911169
40,AIG,AIG Corporation,Technology,0.55,WEAK HOLD ⭐⭐,"Below average metrics, consider other options","110,000,000,000",N/A,0.0,0.0,0.0,,,2025-08-13T11:50:21.913188
41,AMT,AMT Corporation,Technology,0.55,WEAK HOLD ⭐⭐,"Below average metrics, consider other options","125,000,000,000",N/A,0.0,0.0,0.0,,,2025-08-13T11:50:21.913442
42,APO,APO Corporation,Technology,0.55,WEAK HOLD ⭐⭐,"Below average metrics, consider other options","110,000,000,000",N/A,0.0,0.0,0.0,,,2025-08-13T11:50:21.915060
43,AAPL,AAPL Corporation,Technology,0.55,WEAK HOLD ⭐⭐,"Below average metrics, consider other options","125,000,000,000",N/A,0.0,0.0,0.0,,,2025-08-13T11:50:21.915229
44,ATO,ATO Corporation,Technology,0.55,WEAK HOLD ⭐⭐,"Below average metrics, consider other options","110,000,000,000",N/A,0.0,0.0,0.0,,,2025-08-13T11:50:21.916858
45,ADSK,ADSK Corporation,Technology,0.55,WEAK HOLD ⭐⭐,"Below average metrics, consider other options","125,000,000,000",N/A,0.0,0.0,0.0,,,2025-08-13T11:50:21.917034
46,A,A Corporation,Technology,0.54,WEAK HOLD ⭐⭐,"Below average metrics, consider other options","140,000,000,000",N/A,0.0,0.0,0.0,,,2025-08-13T11:50:21.909574
47,GOOGL,GOOGL Corporation,Technology,0.54,WEAK HOLD ⭐⭐,"Below average metrics, consider other options","140,000,000,000",N/A,0.0,0.0,0.0,,,2025-08-13T11:50:21.911341
48,AWK,AWK Corporation,Technology,0.54,WEAK HOLD ⭐⭐,"Below average metrics, consider other options","140,000,000,000",N/A,0.0,0.0,0.0,,,2025-08-13T11:50:21.913652
49,AMAT,AMAT Corporation,Technology,0.54,WEAK HOLD ⭐⭐,"Below average metrics, consider other options","140,000,000,000",N/A,0.0,0.0,0.0,,,2025-08-13T11:50:21.915403
50,ADP,ADP Corporation,Technology,0.54,WEAK HOLD ⭐⭐,"Below average metrics, consider other options","140,000,000,000",N/A,0.0,0.0,0.0,,,2025-08-13T11:50:21.917201
